id;anbieter;kurzbeschreibung_des_angebotes;website;zeitliche_begrenzung;preis;bezirk;schlagworte;services
1024;1. FC Union Berlin e.V.;Ermäßigungen bei allen Fußballspielen im Stadion An der Alten Försterei. Das Angebot ist erhältlich bei Vorlage des berlinpass in den Union-Zeughäusern, solange der Vorrat reicht.;http://www.fc-union-berlin.de/de/;-;ab 9 Euro (je nach Verfügbarkeit der Kategorie);Treptow-Köpenick;Sport & Spiel, Familie;Sport & Health
1024;1. FC Union Berlin e.V.;Ermäßigungen bei allen Fußballspielen im Stadion An der Alten Försterei. Das Angebot ist erhältlich bei Vorlage des berlinpass in den Union-Zeughäusern, solange der Vorrat reicht.;http://www.fc-union-berlin.de/de/;-;ab 9 Euro (je nach Verfügbarkeit der Kategorie);Treptow-Köpenick;Sport & Spiel, Familie;Family Care & Support
355;ABZ im Bürgerhaus Altglienicke;25 % bis 35 % Ermäßigung auf den Eintrittspreis bei ausgewählten Veranstaltungen ab 5,00 Euro Eintritt (Lesungen, Konzert etc.);http://www.buergerhaus-altglienicke.de/;-;-;Treptow-Köpenick;Kultur, Konzert, Literatur & Lesungen, Senioren, Kunst, Museum & Ausstellung;Work & Education
355;ABZ im Bürgerhaus Altglienicke;25 % bis 35 % Ermäßigung auf den Eintrittspreis bei ausgewählten Veranstaltungen ab 5,00 Euro Eintritt (Lesungen, Konzert etc.);http://www.buergerhaus-altglienicke.de/;-;-;Treptow-Köpenick;Kultur, Konzert, Literatur & Lesungen, Senioren, Kunst, Museum & Ausstellung;Cultural Activities & Free Time Activities
355;ABZ im Bürgerhaus Altglienicke;25 % bis 35 % Ermäßigung auf den Eintrittspreis bei ausgewählten Veranstaltungen ab 5,00 Euro Eintritt (Lesungen, Konzert etc.);http://www.buergerhaus-altglienicke.de/;-;-;Treptow-Köpenick;Kultur, Konzert, Literatur & Lesungen, Senioren, Kunst, Museum & Ausstellung;Senior Center
160;ACTivity Schauspielschule;10 Euro Ermäßigung auf die Unterrichtsgebühren;www.activityschauspielschule.de;-;siehe Homepage;Potsdam;Theater, Bildung;Cultural Activities & Free Time Activities
160;ACTivity Schauspielschule;10 Euro Ermäßigung auf die Unterrichtsgebühren;www.activityschauspielschule.de;-;siehe Homepage;Potsdam;Theater, Bildung;Work & Education
214;ACUDkino;Ermäßigter Eintritt zu allen Kinovorstellungen; https://acudkino.de/;-;Erwachsene 6,00 Euro, Kinder/Jugendliche bis 12 Jahre 3,50 Euro;Mitte;Kino, Kultur, Familie;Cultural Activities & Free Time Activities
214;ACUDkino;Ermäßigter Eintritt zu allen Kinovorstellungen; https://acudkino.de/;-;Erwachsene 6,00 Euro, Kinder/Jugendliche bis 12 Jahre 3,50 Euro;Mitte;Kino, Kultur, Familie;Work & Education
214;ACUDkino;Ermäßigter Eintritt zu allen Kinovorstellungen; https://acudkino.de/;-;Erwachsene 6,00 Euro, Kinder/Jugendliche bis 12 Jahre 3,50 Euro;Mitte;Kino, Kultur, Familie;Family Care & Support
250;Adria Filmtheater;Ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett;www.cineplex.de;-;-;Steglitz-Zehlendorf;Kino, Kultur, Familie;Cultural Activities & Free Time Activities
250;Adria Filmtheater;Ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett;www.cineplex.de;-;-;Steglitz-Zehlendorf;Kino, Kultur, Familie;Work & Education
250;Adria Filmtheater;Ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett;www.cineplex.de;-;-;Steglitz-Zehlendorf;Kino, Kultur, Familie;Family Care & Support
658;Ägyptisches Museum und Papyrussammlung;freier Eintritt für alle Besucher*innen;www.egyptian-museum-berlin.com/;-;freier Eintritt;Mitte;Kultur, Museum & Ausstellung, Bildung, Kunst;Work & Education
658;Ägyptisches Museum und Papyrussammlung;freier Eintritt für alle Besucher*innen;www.egyptian-museum-berlin.com/;-;freier Eintritt;Mitte;Kultur, Museum & Ausstellung, Bildung, Kunst;Cultural Activities & Free Time Activities
